ID,Code,Title,Category,Chapter_ID,Liturgical_Role,Fabric_Spec,Suggested_Color,Store,Est_Price_Range,Status,Notes
"TRS-BR-01","BR-01","Sacred Vivaha Pata (Hastaganthi Saree)","bridal","chapter_bridal_silks","Mandap Vivaha Ritual (12:00 PM Hastaganthi)","Pure Mulberry Silk Sambalpuri/Khandua Pata with red temple border","Crimson Red / Sindoor Red","Boyanika / Sambalpuri Bastralaya","₹25,000 - ₹38,000","Shortlisted",""
"TRS-BR-02","BR-02","Bridal Sangeet Lehenga & Choli","bridal","chapter_bridal_silks","Day 1 Sangeet & Performance Night","Heavy velvet/raw-silk flared lehenga with zardozi & can-can","Midnight Royal Blue or Rose Gold","Kalamandir / Manyavar Mohey","₹45,000 - ₹75,000","Shortlisted",""
"TRS-BR-03","BR-03","Haldi Mangala Snana Saree","bridal","chapter_bridal_silks","Day 1 Haldi Ceremony","Breathable cotton-silk handloom with contrasting border","Turmeric Yellow / Mustard","Boyanika / Utkalika","₹4,500 - ₹8,000","Planned",""
"TRS-BR-04","BR-04","Mehendi Garden Promenade Outfit","bridal","chapter_bridal_silks","Day 1 Mehendi Event","Flowing georgette or lightweight organza Anarkali / Lehenga","Emerald Green / Sage","Amber / Kalamandir","₹12,000 - ₹22,000","Planned",""
"TRS-BR-05","BR-05","Reception Grand Silk Saree","bridal","chapter_bridal_silks","Day 2 Evening Reception / Bhoji","Heavy Kanjeevaram Silk or Banarasi Brocade with broad gold zari","Rani Pink / Royal Maroon","Kalamandir / Saheed Nagar","₹35,000 - ₹55,000","Planned",""
"TRS-BR-06","BR-06","Bridal Odhani / Mandap Veil","bridal","chapter_bridal_silks","Hastaganthi Mandap Veil","Fine crimson net with gold gota patti & Subha Vivaha border","Crimson Red with Gold Zari","Market Building Unit-2","₹3,500 - ₹6,000","Planned",""
"TRS-BR-07","BR-07","Post-Wedding Daily Handloom Silks (Set of 5)","bridal","chapter_bridal_silks","Temple Visits & Family Hospitality","Soft Bomkai, Berhampuri, and Ikkat silk sarees","Assorted Festive Palette","Boyanika (Master Canteen)","₹40,000 - ₹60,000 (Total Set)","Planned",""
"TRS-GR-01","GR-01","Mandap Pure Silk Dhoti & Kurta","groom","chapter_groom_wear","Vedic Mandap Rituals & Hastaganthi","Pure unstitched Tussar/Raw Silk Dhoti + Kurta with temple border","Natural Raw Silk Beige with Gold Border","Boyanika (Master Canteen)","₹18,000 - ₹26,000","Shortlisted",""
"TRS-GR-02","GR-02","Ceremonial Silk Patta (Angavastra)","groom","chapter_groom_wear","Hastaganthi Sacred Knot Tying","2.5m Pure Silk Stole with woven shloka or floral border","Off-White & Red Zari","Boyanika / Sambalpuri Bastralaya","₹4,000 - ₹7,500","Planned",""
"TRS-GR-03","GR-03","Barat Royal Sherwani","groom","chapter_groom_wear","Day 2 Morning Barat Procession","Raw Silk / Jacquard with zardozi collar and matching churidar","Ivory, Champagne Gold, or Pearl","Manyavar (Janpath) / Sherwani House","₹35,000 - ₹55,000","Shortlisted",""
